IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.67.133,2053,true,SIN,Asia Pacific,Singapore,296 ms,5516 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,294 ms,5496 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,281 ms,5468 kB/s
8.219.191.40,2053,true,SIN,Asia Pacific,Singapore,289 ms,5444 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,308 ms,5414 kB/s
47.245.102.52,2053,true,SIN,Asia Pacific,Singapore,303 ms,5404 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,293 ms,5394 kB/s
8.219.50.180,2083,true,SIN,Asia Pacific,Singapore,278 ms,5357 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,290 ms,5298 kB/s
47.236.118.216,2096,true,SIN,Asia Pacific,Singapore,314 ms,5288 kB/s
47.245.114.163,2096,true,SIN,Asia Pacific,Singapore,313 ms,5272 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,272 ms,5263 kB/s
8.219.49.65,2083,true,SIN,Asia Pacific,Singapore,291 ms,5250 kB/s
8.219.174.142,2096,true,SIN,Asia Pacific,Singapore,308 ms,5243 kB/s
47.236.17.193,2053,true,SIN,Asia Pacific,Singapore,279 ms,5234 kB/s
47.243.234.9,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,5223 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,309 ms,5177 kB/s
47.76.189.102,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,5138 kB/s
47.245.114.163,2083,true,SIN,Asia Pacific,Singapore,330 ms,5118 kB/s
8.222.193.65,2053,true,SIN,Asia Pacific,Singapore,285 ms,5080 kB/s
47.236.171.205,8443,true,SIN,Asia Pacific,Singapore,290 ms,5068 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,290 ms,5064 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,295 ms,5061 kB/s
47.237.125.8,2087,true,SIN,Asia Pacific,Singapore,287 ms,5017 kB/s
8.219.198.139,2083,true,SIN,Asia Pacific,Singapore,290 ms,5010 kB/s
8.222.183.242,2096,true,SIN,Asia Pacific,Singapore,298 ms,4994 kB/s
47.236.9.152,2053,true,SIN,Asia Pacific,Singapore,279 ms,4978 kB/s
47.237.95.140,2096,true,SIN,Asia Pacific,Singapore,298 ms,4930 kB/s
47.245.84.124,2096,true,SIN,Asia Pacific,Singapore,293 ms,4892 kB/s
47.245.84.124,2083,true,SIN,Asia Pacific,Singapore,304 ms,4864 kB/s
8.219.198.139,2053,true,SIN,Asia Pacific,Singapore,302 ms,4847 kB/s
8.219.191.40,2096,true,SIN,Asia Pacific,Singapore,302 ms,4812 kB/s
47.245.96.80,2096,true,SIN,Asia Pacific,Singapore,298 ms,4800 kB/s
47.236.80.110,2053,true,SIN,Asia Pacific,Singapore,287 ms,4797 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,4795 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,295 ms,4792 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,280 ms,4729 kB/s
8.219.49.65,2053,true,SIN,Asia Pacific,Singapore,300 ms,4725 kB/s
47.242.7.162,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,4722 kB/s
8.219.50.180,2087,true,SIN,Asia Pacific,Singapore,283 ms,4715 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,291 ms,4703 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,295 ms,4702 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,291 ms,4697 kB/s
8.219.49.65,2087,true,SIN,Asia Pacific,Singapore,282 ms,4688 kB/s
47.242.232.14,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,4684 kB/s
47.245.96.80,2053,true,SIN,Asia Pacific,Singapore,297 ms,4666 kB/s
47.243.234.9,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,4642 kB/s
8.219.161.129,2096,true,SIN,Asia Pacific,Singapore,294 ms,4642 kB/s
47.237.82.15,2083,true,SIN,Asia Pacific,Singapore,286 ms,4625 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,299 ms,4621 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,299 ms,4591 kB/s
8.219.191.40,2087,true,SIN,Asia Pacific,Singapore,289 ms,4559 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,303 ms,4546 kB/s
8.222.156.242,2087,true,SIN,Asia Pacific,Singapore,297 ms,4546 kB/s
47.245.84.124,8443,true,SIN,Asia Pacific,Singapore,310 ms,4544 kB/s
47.236.80.110,8443,true,SIN,Asia Pacific,Singapore,294 ms,4524 kB/s
8.219.78.188,2053,true,SIN,Asia Pacific,Singapore,295 ms,4501 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,302 ms,4473 kB/s
47.237.94.140,2096,true,SIN,Asia Pacific,Singapore,293 ms,4463 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,300 ms,4441 kB/s
47.242.232.14,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,4430 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,280 ms,4377 kB/s
47.245.84.124,2087,true,SIN,Asia Pacific,Singapore,294 ms,4357 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,280 ms,4354 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,292 ms,4331 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,297 ms,4306 kB/s
47.237.86.185,2053,true,SIN,Asia Pacific,Singapore,294 ms,4303 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,299 ms,4273 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,290 ms,4258 kB/s
8.219.174.142,2087,true,SIN,Asia Pacific,Singapore,290 ms,4250 kB/s
47.236.205.188,2053,true,SIN,Asia Pacific,Singapore,301 ms,4232 kB/s
8.222.193.65,2096,true,SIN,Asia Pacific,Singapore,294 ms,4217 kB/s
47.236.205.188,2083,true,SIN,Asia Pacific,Singapore,291 ms,4149 kB/s
47.245.84.124,2053,true,SIN,Asia Pacific,Singapore,304 ms,4133 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,301 ms,4110 kB/s
47.237.95.13,2083,true,SIN,Asia Pacific,Singapore,294 ms,4081 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,295 ms,4073 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,286 ms,4069 kB/s
47.238.50.221,80,true,SIN,Asia Pacific,Singapore,78 ms,4060 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,304 ms,4031 kB/s
47.237.95.156,2083,true,SIN,Asia Pacific,Singapore,306 ms,4024 kB/s
47.236.17.193,2096,true,SIN,Asia Pacific,Singapore,298 ms,4024 kB/s
8.218.132.209,80,true,SIN,Asia Pacific,Singapore,60 ms,4018 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,81 ms,4003 kB/s
47.237.14.220,2053,true,SIN,Asia Pacific,Singapore,282 ms,3996 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,288 ms,3995 kB/s
47.236.5.223,2096,true,SIN,Asia Pacific,Singapore,286 ms,3990 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,299 ms,3979 kB/s
47.76.243.157,80,true,SIN,Asia Pacific,Singapore,54 ms,3972 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,310 ms,3957 kB/s
47.245.96.80,8443,true,SIN,Asia Pacific,Singapore,315 ms,3936 kB/s
47.238.52.240,80,true,SIN,Asia Pacific,Singapore,74 ms,3935 kB/s
47.242.232.14,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,3931 kB/s
47.237.82.15,2053,true,SIN,Asia Pacific,Singapore,279 ms,3922 kB/s
47.238.49.85,80,true,SIN,Asia Pacific,Singapore,57 ms,3920 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,60 ms,3892 kB/s
47.239.13.168,80,true,SIN,Asia Pacific,Singapore,62 ms,3886 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,311 ms,3868 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,3855 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,300 ms,3847 kB/s
47.237.83.20,2083,true,SIN,Asia Pacific,Singapore,284 ms,3846 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,290 ms,3804 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,300 ms,3792 kB/s
47.237.95.156,2096,true,SIN,Asia Pacific,Singapore,301 ms,3762 kB/s
47.238.235.163,443,true,HKG,Asia Pacific,Hong Kong,55 ms,3745 kB/s
47.243.173.187,2083,true,HKG,Asia Pacific,Hong Kong,775 ms,3737 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,290 ms,3718 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,76 ms,3701 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,289 ms,3685 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,302 ms,3683 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,306 ms,3678 kB/s
47.237.10.1,2053,true,SIN,Asia Pacific,Singapore,302 ms,3667 kB/s
47.237.10.1,2083,true,SIN,Asia Pacific,Singapore,282 ms,3663 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,301 ms,3650 kB/s
47.237.125.8,2083,true,SIN,Asia Pacific,Singapore,303 ms,3648 kB/s
8.222.193.65,8443,true,SIN,Asia Pacific,Singapore,274 ms,3636 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,298 ms,3636 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,286 ms,3608 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,301 ms,3596 kB/s
47.236.172.71,2087,true,SIN,Asia Pacific,Singapore,297 ms,3596 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,278 ms,3576 kB/s
47.237.95.156,2053,true,SIN,Asia Pacific,Singapore,289 ms,3546 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,281 ms,3519 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,387 ms,3503 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,302 ms,3458 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,296 ms,3442 kB/s
47.236.170.54,2096,true,SIN,Asia Pacific,Singapore,302 ms,3433 kB/s
47.245.102.52,2087,true,SIN,Asia Pacific,Singapore,294 ms,3419 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,296 ms,3403 kB/s
47.237.81.112,2053,true,SIN,Asia Pacific,Singapore,295 ms,3395 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,289 ms,3391 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,284 ms,3358 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,280 ms,3351 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,3336 kB/s
47.245.96.80,2087,true,SIN,Asia Pacific,Singapore,299 ms,3301 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,307 ms,3295 kB/s
